id,company_name,email,phone,website,form_url,address,description,status,created_at,last_contact
1,東京都のレンタルスペース業界の会社・企業一覧｜Baseconnect,,000-0000-0000,https://baseconnect.in/companies/prefecture/a30ebdff-361b-42be-8372-1b0d350f48a0/category/ba2148b9-c79c-4b98-ac6e-e7cd2b4f0ba8,https://baseconnect.in/change_request_form,"〒106-0032\"",[\""$\"",\""br\"",null,{}],\""東京都港区六本木６丁目１０番３号\""]}],\""$undefined\""]}]]}],[\""$\"",\""",ラグジュアリーホテルをはじめ、高級旅館、ビジネスホテルやリゾートホテルおよび会員制ホテルなどの運営を手掛ける。日本料理、会席や寿司ならびに鉄板焼きやイタリアンなどのレストランも提供。また、ウェディングの婚礼会場や会議および小規模宴会にも対,新規,2026-04-21T01:07:05.072656,
2,【東京駅】レンタルスペースおすすめTOP20｜インスタベース,mail@instabase.jp,047-6190-4762,https://www.instabase.jp/tokyo-s1130101-rentalspace,,"〒1000004 東京都 千代田区 大手町 ２-６-４ TOKYO TORCH 常盤橋タワー 3F"",""price"":69052,""currency"":""JPY"",""index","日本橋駅から徒歩1分のMY Shokudo Hall&Kitchen 常盤橋MYShokudoHall＆Kitchenの情報をチェック！東京都千代田区のイベントスペースを1時間50,490円から予約が可能で、その他のパーティー・飲み会などの用途におすすめです。レビューや室内外の写真、地図や設備など詳しい情報を豊富に掲載しています！",新規,2026-04-21T01:07:05.072656,
3,東京都のレンタルスペース・貸し会議室,info@spacee.jp,04-2136-5112,https://www.spacee.jp/tokyo,,"105-0004\\\"",\\\""addressRegion\\\"":\\\""東京都\\\"",\\\""addressLocality\\\"":\\\""港区\\\"",\\\""st",ワンランク上の会議室・レンタルスペース・貸しホールなどプレミアムなスペースをかんたん検索・予約。Yoyappin（ヨヤッピン）のプレミアムスペース。,新規,2026-04-21T01:07:05.072656,
4,【東京都】ガーリー 人気レンタルスペース｜カシカシ,info@kashispace.com,,https://kashispace.com/room?area=13&room_feature=25,https://kashispace.com/contact,"〒581-0067　大阪府八尾市神武町1番36号
                            株式会社友安製作所",あなたのスペースをカシカシに登録掲載しませんか？レンタルスペース検索サイトのカシカシなら空きスペース・空き部屋を時間単位で貸し出して簡単に収益化できます。掲載料も初期費用も無料なので、教室やスタジオ、会議室を有効活用したい方や副業で貸しスペース事業を開業したものの予約が入らず困っている方は是非ご登録ください。,新規,2026-04-21T01:07:05.072656,
5,東京都エリア｜貸し会場・レンタルスペースを検索｜会場ナビ｜複数の会場を一括お問い合わせで簡単比較！,info@kaijo-navi.jp,,https://kaijo-navi.jp/area/tokyo.html,https://kaijo-navi.jp/inquiry2.html,"076216500
</t",複数の会場を一括お問い合わせ！会場ナビなら、貸し会場・レンタルスペースを簡単比較。会議、研修、展示会、企業イベントに最適。50名〜300名規模の会場を多数掲載し、手間なく探せます！,新規,2026-04-21T01:07:05.072656,
6,東京都で人気の貸し会議室・ホール・レンタルスペース一覧,mitsui-conference@mfbm.co.jp,050-3029-9999,https://www.kaigishitu.com/area/tokyo/,https://www.kaigishitu.com/lp/keisai/,"405-5555"" fax=""03-3405-5424"" contact_desc="""" class=""p-detail__section p-building__inform",TODA HALL & CONFERENCE TOKYO（東京都中央区）の施設情報です。TODA HALL & CONFERENCE TOKYOは最寄りの駅から徒歩7分のアクセスで、用途に合わせた会議室があります。このページでは、TODA HALL & CONFERENCE TOKYOの空室確認、見積もり依頼が無料で行えます。,新規,2026-04-21T01:07:05.072656,
7,SPACE MOLE｜株式会社スペースモール｜遊休資産を活用したレンタルスペースの企画・運営・レンタル利用,info@spacemole.co.jp,000-0000-0000,https://spacemole.co.jp/,https://spacemole.co.jp/contact/,"000-0000"" value="""" type=""text"" name=""postal"" />
				
			
		
		<di",SPACE MOLE（株式会社スペースモール）は「スペースシェアをあたりまえに」をコンセプトに、レンタルスペースの企画・運営代行・レンタル利用をご提案。時代の流れにあった「Something New」を掛け合わせて遊休不動産に新しい価値を吹き込みます。,新規,2026-04-21T01:07:05.072656,
8,東京都の貸し会議室・レンタルスペース一覧｜会議室セレクト,,03-5572-8109,https://www.kaigi-select.com/search/room/13/,https://www.kaigi-select.com/contact/?target_room_id=2470,,新虎安田ビルNIKAI カンファレンス／フレックス　へのお問い合わせ | 大阪・東京などの貸し会議室・セミナー会場・会議室検索・貸しホール・パーティ・試験会場、社外研修、企業説明会など会場を探すなら国内No.1の貸し会議室数から検索できる会議室セレクト。会議に役立つテンプレートや会議を成功させるためのお役立ち情報も掲載。,新規,2026-04-21T01:07:05.072656,
9,【東京都内】用途別レンタルスペース20選！ビジネスに最適なスペースをご紹介,info@pro-seeds.com,015-1829-3656,https://www.pro-seeds.com/lileas/blog/post-372/,https://www.pro-seeds.com/contact-point/contact-lileas/,"〒564-0052 大阪府吹田市広芝町10番25号 第2池上ビル1階　<a href=""https://www.pro-seeds.co.jp/company/access.ht",LiLeaSは少人数の会議からセミナー・研修・スクーリング・イベントまで様々な用途でご利用になれる貸し会議室です。研修やセミナー、スクーリングなどに最適な「学びやすさ」を提供します。撮影やライブ配信も可能で、撮影に慣れていないお客様には、撮影経験豊富な撮影スタッフが準備・撮影を一貫して行うプランもご用意。溜池山王・赤坂・国会議事堂駅からすぐの立地で、アクセスも楽。,新規,2026-04-21T01:07:05.072656,
10,80〜100名 の利用に最適な会場一覧,,022-0119-0813,https://goblinspace.jp/scale/mid-large/,https://goblinspace.jp/contact/,,【GOBLIN. / 東京都内のレンタルスペース・撮影スタジオ】東京都内を中心に70店舗以上の会場をご用意しており、窓口のスペースプランナーがご希望の条件にあわせて、会場探しからご利用までサポートいたします。ご希望の会場が決まっている方も、どんな会場を選んでいいかわからない方も、お気軽にご相談ください。,新規,2026-04-21T01:07:05.072656,
